H3,H2,L3,L2,L1
L2,L4,L2,L2,L3
L1,H3,L2,L4,L2
L1,L1,L3,L1,L1
L1,L1,H4,L3,L1
L3,L1,H1,L3,H4
DS,L2,H4,L1,L2
L4,L1,DS,L2,L4
DS,L3,L3,H4,L4
L4,L1,H1,L3,H4
H4,L2,L4,H1,H4
L4,L1,L2,L4,L4
L3,H4,L1,L2,L1
H4,L1,L3,L2,L4
H4,H3,L4,H3,L4
H4,H2,L4,L3,L3
L4,H3,H4,H3,L2
H4,H1,H1,H4,L3
L4,L2,L4,L1,L4
L1,L3,L4,L3,L2
L3,H3,L4,L3,L1
L4,L1,L2,H4,L4
L2,L2,L4,H1,L1
L4,L4,L2,L1,L3
DB,L1,L1,L4,L4
H1,L3,L3,H2,H1
L4,L2,L3,L2,DS
L2,L3,DS,L2,L2
H4,L4,L3,L2,L1
L1,L3,L2,L4,L1
H4,L4,L2,H3,H4
L4,L1,L2,H4,H4
L1,H2,H1,L4,L2
L2,L1,L1,L2,L4
H4,L3,L2,L2,L4
H1,L4,H1,L1,L2
L1,L4,L4,H1,L3
H2,L2,L3,L1,H1
L2,H2,L2,L1,L4
L2,L3,H2,H1,L2
L4,L1,L3,L1,L1
L1,L1,L4,L1,L1
L1,L1,L4,L4,L2
L2,H3,H4,L3,L4
L1,H4,L2,H2,L4
H1,L3,L2,L1,H4
L3,L4,H4,H1,L3
L3,L2,H4,L3,L2
L3,L1,L3,L1,L2
H1,L3,H3,L1,L1
L2,H4,H1,H3,L4
H4,L1,L3,H4,L4
L2,H4,H4,DB,L1
L1,H4,L3,L4,L3
L4,L4,L2,L4,L3
L4,L4,L4,L2,H2
L1,H2,L1,H2,L4
L4,L3,L4,L1,L3
L3,L2,L4,L1,L3
L4,L3,L2,L3,L4
L1,L2,H4,H3,H3
L1,L1,H3,L3,L4
L4,L1,H4,L1,L2
L4,L4,H3,L3,L3
L3,L4,H4,L2,L4
L4,L2,L4,H4,H2
L4,L3,L2,L3,L1
L1,H2,H2,L1,L3
L4,L2,L4,L4,L1
L2,L4,L2,L2,H2
L1,H1,H4,L2,H1
H3,L4,L2,L3,L2
L1,L2,L1,L3,L4
L3,L3,L2,L1,L3
L1,L2,L3,L4,L3
L2,L1,H3,L4,L4
L4,L4,L2,L4,L1
H3,L2,H3,L2,L4
H4,H4,L4,L3,L2
L4,L1,L2,L3,L4
H2,L1,L4,L2,H1
L3,L2,L4,L2,L2
L1,H4,H4,L1,L3
L1,L4,L3,DS,H2
L1,L3,L4,L4,L2
L4,H3,L3,L3,L2
L3,L1,L4,L3,H2
L3,H4,L2,DS,L4
H2,L1,H1,H3,L1
H4,H1,L3,DS,H3
L4,L3,H4,L4,L3
DB,H4,L3,DS,L3
L4,L3,L2,L3,L1
H4,L4,L4,L4,L3
L3,H2,L2,L1,L3
L2,DB,L1,H3,H3
L1,L4,H2,H2,L3
L2,H4,L3,L4,H3
H4,L3,L1,DS,L4
L3,L2,L4,L4,L3
L2,H4,H4,L3,H3
L1,L1,H2,H4,H4
L4,L2,L1,L1,L1
H4,L4,L2,H2,L3
L4,L2,L2,L3,L1
L1,L1,L4,L1,H3
H1,L2,L3,L2,H4
L3,L3,L4,H4,L3
H3,L2,L1,L2,L2
L3,L4,L1,H4,H4
H2,H4,L1,L4,L1
L3,L3,L1,L3,L1
H4,H3,L2,L4,L1
H1,H3,L1,L2,L3
L2,L1,L4,H4,L3
L1,L4,L3,L2,H3
L3,H3,L3,L4,H4
L3,L4,L4,DS,L3
DS,L1,L4,L2,L4
L4,L3,L1,L1,H3
L1,L2,DS,H4,L3
L3,L3,L4,L2,L3
L2,L4,L4,L3,L4
L2,H2,L4,L3,L4
L1,L3,L1,DB,H4
L4,H3,L1,L4,L3
L3,H1,L4,L4,L3
H3,L3,L1,L1,H4
L4,L4,L3,L2,L3
H1,L3,L2,L4,H3
L4,H4,L1,L2,L1
L3,H2,L3,L1,L1
DS,L4,L2,DS,H4
L3,L1,H1,L3,H2
H1,L1,L1,H2,L4
L1,H1,L1,H3,L4
L4,L4,H4,L1,H2
H3,L4,L3,L2,H3
L2,H2,L4,L2,L3
H1,H2,L2,H3,L1
H1,L1,L2,H1,L1
L2,H2,L3,L3,L1
L4,H1,L3,H2,L3
L4,L1,L4,H1,L1
L4,H2,H1,L1,H4
L3,H2,L2,L4,L1
L3,L2,L2,L4,H4
L2,L3,DS,H3,H3
H2,L4,H4,H4,L4
H3,L3,L2,L1,H4
H1,L1,L3,H2,L1
L4,L1,H4,L3,L4
L3,H4,L3,H3,L2
L1,L4,L4,L2,L4
DS,H3,L3,L2,L1
H2,H4,DS,L2,L2
L2,L4,H1,L2,L1
L3,H1,L1,DS,L1
H3,H4,L4,DS,H3
L3,L1,L1,L4,L3
L4,L2,L4,H1,L3
L4,L4,L1,L1,L4
L4,L2,L3,L1,L4
L2,H4,L1,L4,L1
H3,L1,L4,L4,L1
L3,L2,H1,L3,L3
H3,L3,L3,DS,L1
L4,L3,L2,L4,L3
H2,L2,L2,L2,L3
DS,L4,H3,H1,L3
L3,DS,L4,DS,H2
L1,H3,L1,H4,L1
L1,L1,L2,DS,L2
L4,L4,L2,L4,H4
L1,H1,L2,L2,L1
H2,L1,L4,L2,L2
L2,L2,L2,L2,H4
H3,L2,L4,L2,L1
L4,L1,L2,L3,H4
L2,L1,L2,L3,L1
L1,L3,H4,L3,L4
H4,L4,L1,H4,DB
L3,H3,L1,L2,L1
H3,L3,L2,L1,L1
L3,L2,L1,DS,L1
H1,L1,L4,L3,H3
L1,L2,L1,L4,H3
L2,L4,L4,H4,L1
L1,H3,H4,L2,L4
L1,H3,H3,L1,L1
L1,L1,H3,H4,L3
L4,L4,H1,L4,L1
L4,H3,L4,L2,L1
L3,DB,L3,L1,H2
L3,H4,L3,L3,L1
L4,L4,L2,L3,L3
L2,L3,L3,L3,L4
L3,L3,L3,H4,H2
L4,H3,H4,L3,H1
H4,L3,L3,L1,L3
L3,L4,H2,L4,H2
H4,L2,H2,L1,L2
L3,L2,L4,H4,H3
L4,H4,H2,H1,L4
H2,L3,H2,L1,L4
L1,L4,H3,L1,L4
H4,L3,L4,L3,L1
L1,L2,L4,H1,L1
L2,L4,H4,L2,L1
L1,L1,L3,L4,L1
H2,L2,H2,L2,DB
L3,H4,L2,L4,DB
L1,H2,L1,L2,L2
L2,L1,H4,L1,H4
L3,L1,L2,L2,L3
L1,H2,L3,H1,L3
L2,H3,L1,L3,L4
L1,H3,DB,H3,L2
L3,L4,L1,L4,L1
H3,L1,L4,L4,L4
L1,L1,L1,L2,L2
H3,L4,L2,L2,H2
H4,H3,L3,L3,L4
L2,L1,L3,L1,H3
L3,L4,L1,L1,L4
L4,L3,L1,L3,L4
L2,L4,L2,L1,H4
H2,H2,L3,L1,L1
L3,L1,H2,L4,H3
L1,L3,L4,L4,L2
L1,L3,H2,H4,H3
L2,L1,L1,L1,L2
L4,H2,H2,L3,L2
L2,L3,L1,H3,L2
L3,L2,L3,L3,L3
L4,DB,L1,L4,L4
H4,L1,H4,L1,H2
L4,L3,L1,L2,H2
L2,L1,L2,L1,L1
L1,H4,L4,L3,DS
L3,L1,H3,L1,L4
H4,L3,H4,H4,H3
H2,H1,L1,H3,L3
L4,L3,L2,L2,L2
L2,L1,H3,H2,L4
L3,H2,L1,L2,L3
L3,L3,L1,L3,H1
L1,L3,H2,L4,L4
L4,L2,H2,L4,L2
DS,L2,L2,L4,L4
